Cn,Ct,ec (cm3),ep (KW),Ewltp (g/km)
T-CROSS,M1,1498.0,110.0,139.0
YPSILON,M1,999.0,52.0,125.0
X3 XDRIVE 20I,M1G,1998.0,135.0,180.0
2008,M1,1199.0,74.0,123.0
CAPTUR,M1,999.0,67.0,133.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
M3 40I XDRIVE,M1,2998.0,275.0,184.0
Clubman Cooper D,M1,1995.0,110.0,139.0
CUPRA LEON SP,M1,1984.0,228.0,188.0
DUSTER,M1,1461.0,85.0,127.0
GLA 200,M1,1332.0,120.0,152.0
NISSAN X-TRAIL,M1,1332.0,116.0,162.0
2008,M1,1499.0,81.0,118.0
GLB 180,M1,1332.0,100.0,162.0
MAZDA2,M1,1496.0,66.0,120.0
EVO3,M1,1499.0,83.0,135.0
ARONA,M1,999.0,81.0,124.0
LEON,M1,1498.0,110.0,133.0
KAMIQ,M1,999.0,81.0,124.0
216D GRAN TOURER,M1,1496.0,85.0,135.0
RENEGADE,M1,1598.0,96.0,138.0
CLA 200,M1,1332.0,120.0,148.0
MEGANE,M1,1461.0,70.0,119.0
TIGUAN,M1,1498.0,110.0,166.0
B 180,M1,1332.0,100.0,139.0
TIGUAN,M1G,1968.0,147.0,178.0
E 300 DE,M1,1950.0,143.0,36.0
SEAT LEON SP E-HYBRID150,M1,1395.0,110.0,
3008,M1,1499.0,96.0,130.0
MICRA,M1,999.0,68.0,126.0
TARRACO,M1,1968.0,110.0,149.0
3008,M1,1499.0,96.0,137.0
NISSAN JUKE,M1,999.0,84.0,135.0
C-HR,M1,1798.0,72.0,111.0
BAYON,M1,998.0,74.0,121.0
PANDA,M1,875.0,62.0,110.0
UP!,M1,999.0,44.0,125.0
C 180,M1,1497.0,115.0,160.0
Q4 40 e-tron,M1,,150.0,0.0
ATECA,M1,1984.0,140.0,182.0
SANDERO,M1,999.0,67.0,119.0
TOYOTA COROLLA,M1,1798.0,72.0,112.0
X3 XDRIVE 30D,M1G,2993.0,210.0,175.0
YPSILON,M1,999.0,52.0,111.0
GLE 400 D 4MATIC COUPE,M1G,2925.0,243.0,217.0
OCTAVIA,M1,1395.0,110.0,24.0
GLE 350 DE 4MATIC,M1,1950.0,143.0,20.0
KUGA,M1,1496.0,110.0,149.0
SANDERO,M1,999.0,67.0,114.0
MINI,M1,1499.0,100.0,148.0
"KONA, KAUAI",M1,998.0,88.0,138.0
CROSSLAND,M1,1199.0,96.0,139.0
DS 7 CROSSBACK,M1,1199.0,96.0,149.0
C 300 de,M1,1950.0,143.0,34.0
COROLLA,M1,1798.0,72.0,103.0
FIAT 500X,M1,1248.0,70.0,121.0
KAMIQ,M1,999.0,81.0,124.0
A 180,M1,1332.0,100.0,137.0
GOLF,M1,1968.0,110.0,129.0
OCTAVIA,M1,1968.0,85.0,113.0
Q3,M1,1968.0,110.0,150.0
XC90,M1G,1969.0,223.0,71.0
COROLLA,M1,1987.0,112.0,120.0
3008,M1,1598.0,147.0,29.0
C3 AIRCROSS,M1,1499.0,81.0,122.0
GLC 200 4MATIC,M1,1991.0,145.0,190.0
SUPERB,M1,1968.0,147.0,122.0
FIAT TIPO,M1,1598.0,96.0,119.0
Mondeo,M1,1995.0,110.0,131.0
MII,M1,,61.0,0.0
SUPERB,M1,1395.0,115.0,32.0
XCEED,M1,1591.0,150.0,161.0
GOLF,M1,1498.0,96.0,126.0
X1 XDRIVE 20I,M1,1998.0,141.0,168.0
DUSTER,M1,1461.0,84.0,145.0
508,M1,1499.0,96.0,123.0
320D XDRIVE,M1,1995.0,140.0,136.0
COOPER S,M1,1998.0,131.0,141.0
SANDERO,M1,999.0,74.0,115.0
PANDA,M1,1242.0,51.0,122.0
QASHQAI,M1,1332.0,103.0,143.0
VITARA,M1,1373.0,10.0,129.0
X4 XDRIVE 30D,M1G,2993.0,210.0,164.0
E 200 D,M1,1597.0,118.0,151.0
A5 Sportback,M1,1984.0,110.0,145.0
SORENTO,M1,1598.0,132.0,38.0
CAPTUR,M1,1332.0,103.0,135.0
LEON,M1,1498.0,110.0,132.0
MITSUBISHI OUTLANDER,M1,2360.0,130.0,46.0
ARKANA E-TECH,M1,1598.0,69.0,113.0
2008,M1,1499.0,81.0,116.0
KONA,M1,1598.0,100.0,136.0
I20,M1,998.0,73.0,119.0
MULTIVAN,M1,1968.0,81.0,191.0
EQA 250,M1,,80.0,0.0
DUSTER,M1,1461.0,85.0,128.0
C-HR,M1,1798.0,72.0,111.0
MITSUBISHI OUTLANDER,M1,2360.0,99.0,46.0
MINI,M1,1499.0,100.0,141.0
208,M1,1199.0,55.0,119.0
COROLLA,M1,1798.0,72.0,99.0
X4 XDRIVE20D G02 XD5,M1G,1995.0,140.0,159.0
MODEL 3,M1,,100.0,0.0
T-CROSS,M1,999.0,81.0,132.0
SCALA,M1,999.0,81.0,133.0
OCTAVIA,M1,1968.0,110.0,115.0
DS 7 CROSSBACK,M1,1997.0,130.0,166.0
T-CROSS,M1,999.0,81.0,132.0
MICRA,M1,999.0,68.0,124.0
NISSAN JUKE,M1,999.0,84.0,137.0
T-CROSS,M1,999.0,81.0,146.0
COOPER SE,M1,,135.0,0.0
I10,M1,998.0,49.0,120.0
CLIO,M1,999.0,67.0,113.0
KAMIQ,M1,1498.0,110.0,136.0
RANGE ROVER EVOQUE,M1G,1498.0,147.0,44.0
Q2,M1,1498.0,110.0,134.0
XC40,M1,1969.0,145.0,163.0
EV6,M1,,239.0,0.0
Cooper,M1,1499.0,100.0,139.0
MUSTANG MACH-E,M1,,124.0,0.0
CLIO,M1,999.0,67.0,118.0
YPSILON,M1,999.0,52.0,111.0
i10,M1,998.0,49.0,127.0
Mustang Mach-E,M1,,221.0,0.0
GLA 250 E,M1,1332.0,118.0,31.0
ATECA,M1,1968.0,110.0,139.0
MODEL 3,M1,,155.0,0.0
LODGY,M1,1461.0,85.0,123.0
TWINGO,M1,,31.0,0.0
SPORTAGE,M1,1591.0,97.0,147.0
TWINGO,M1,,31.0,0.0
Q3,M1,1395.0,110.0,
208,M1,1199.0,74.0,118.0
COUNTRYMAN COOPER SE ALL,M1,1499.0,92.0,41.0
218D,M1,1995.0,110.0,144.0
SPORTAGE,M1,1598.0,100.0,173.0
MULTIVAN,M1,1968.0,110.0,216.0
CLIO,M1,999.0,67.0,120.0
2008,M1,1499.0,96.0,125.0
CORSA,M1,1199.0,74.0,125.0
MAZDA MX-30,M1,,107.0,0.0
C3 AIRCROSS,M1,1199.0,81.0,134.0
PUMA,M1,999.0,92.0,122.0
FORMENTOR VZ E-HYBRID,M1,1395.0,110.0,33.0
TIGUAN,M1,1968.0,90.0,139.0
TIGUAN,M1,1395.0,110.0,39.0
CR-V,M1,1993.0,107.0,159.0
740LD XDRIVE,M1,2993.0,250.0,171.0
FABIA,M1,999.0,44.0,125.0
YPSILON,M1,999.0,52.0,112.0
FIAT 500,M1,999.0,52.0,112.0
KADJAR,M1,1461.0,85.0,134.0
FIAT 500,M1,999.0,52.0,119.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
C3,M1,1199.0,61.0,120.0
YARIS,M1,1490.0,68.0,87.0
IBIZA,M1,999.0,81.0,116.0
FIAT 500X,M1,1248.0,70.0,127.0
TOUAREG,M1G,2967.0,210.0,213.0
GLB 200 D,M1,1950.0,110.0,145.0
T-ROC,M1,1498.0,110.0,150.0
FIAT TIPO,M1,1598.0,88.0,137.0
VITARA,M1,1373.0,95.0,141.0
DEFENDER,M1G,2997.0,147.0,232.0
CROSSLAND,M1,1199.0,96.0,137.0
KUGA,M1,2488.0,112.0,131.0
VITARA,M1,1373.0,95.0,141.0
Q7,M1G,2967.0,210.0,213.0
TIGUAN,M1G,1968.0,110.0,165.0
TIGUAN,M1,1968.0,90.0,134.0
7 CROSSBACK,M1,1199.0,96.0,148.0
2008,M1,1199.0,74.0,123.0
A3 40 TFSIE,M1,1395.0,110.0,30.0
ARTEON,M1,1968.0,110.0,126.0
"RIO,STONIC",M1,998.0,73.0,132.0
ARONA,M1,999.0,81.0,138.0
FOCUS,M1,999.0,92.0,120.0
SANDERO,M1,999.0,67.0,140.0
GLB 200 D,M1,1950.0,110.0,146.0
TARRACO,M1,1968.0,110.0,143.0
COMPASS,M1,1598.0,88.0,152.0
ONE,M1,1499.0,75.0,128.0
SPORTAGE,M1,1591.0,130.0,168.0
TIGUAN,M1,1498.0,110.0,166.0
Kuga,M1,1499.0,88.0,137.0
XC60,M1G,1969.0,145.0,166.0
GOLF,M1,1498.0,110.0,129.0
CORSA,M1,1199.0,74.0,121.0
DUSTER,M1,1461.0,85.0,123.0
BAYON,M1,998.0,74.0,120.0
IONIQ5,M1,,154.0,0.0
LEON SPORTSTOURER,M1,1395.0,110.0,28.0
PUMA,M1,1499.0,88.0,119.0
TIGUAN,M1,1968.0,110.0,149.0
T-CROSS,M1,999.0,81.0,148.0
2008,M1,1199.0,96.0,136.0
TOYOTA COROLLA,M1,1987.0,112.0,119.0
CLA 250 E,M1,1332.0,118.0,27.0
CROSSLAND,M1,1199.0,96.0,139.0
FIAT 500,M1,999.0,52.0,106.0
SANDERO,M1,999.0,67.0,115.0
CLIO,M1,1598.0,67.0,99.0
COROLLA,M1,1987.0,112.0,118.0
MAZDA3,M1,1998.0,90.0,140.0
FIAT 500,M1,,43.0,0.0
CROSSLAND,M1,1199.0,96.0,140.0
SANDERO,M1,999.0,67.0,127.0
A 180,M1,1332.0,100.0,134.0
I10,M1,998.0,49.0,110.0
X5 xDrive45e,M1,2998.0,210.0,29.0
TWINGO,M1,,31.0,0.0
I 30,M1,1498.0,80.0,138.0
JUKE,M1,999.0,84.0,142.0
EQ FORTWO COUPE,M1,,41.0,0.0
SPRING,M1,,,0.0
GLE 350 de 4MATIC,M1,1950.0,143.0,44.0
X1 sDrive16d,M1,1496.0,85.0,136.0
N 3008,M1,1598.0,133.0,31.0
SWIFT,M1,1197.0,61.0,106.0
DUSTER,M1,1461.0,85.0,127.0
SWIFT,M1,1197.0,61.0,106.0
CLASSE A,M1,1950.0,110.0,132.0
TOURAN,M1,1498.0,110.0,148.0
FIAT 500,M1,999.0,52.0,116.0
T-ROC,M1,1498.0,110.0,148.0
BAYON,M1,998.0,73.0,121.0
SANTA FE,M1,1598.0,132.0,153.0
C1,M1,998.0,53.0,110.0
TOYOTA C-HR,M1,1798.0,72.0,111.0
T-CROSS,M1,999.0,81.0,134.0
Jumpy Space Tourer,M1,,100.0,0.0
RIO,M1,998.0,74.0,121.0
X5 XDRIVE45E,M1G,2998.0,210.0,31.0
CROSSLAND,M1,1199.0,96.0,132.0
FABIA,M1,999.0,70.0,121.0
"SPACE STAR 1,0 AS&G",M1,999.0,52.0,115.0
KODIAQ,M1G,1968.0,176.0,209.0
ARTEON,M1,1968.0,110.0,137.0
YPSILON,M1,1242.0,51.0,122.0
GLE 350 DE 4MATIC,M1,1950.0,143.0,20.0
KUGA,M1,2488.0,112.0,22.0
2008,M1,1199.0,96.0,127.0
308,M1,1199.0,81.0,122.0
PANDA,M1,1242.0,51.0,133.0
CAPTUR,M1,999.0,67.0,133.0
CORSA,M1,1199.0,55.0,117.0
208,M1,,57.0,0.0
C3,M1,1499.0,75.0,109.0
TUCSON,M1,1598.0,132.0,127.0
SANDERO,M1,999.0,67.0,109.0
ZOE,M1,,51.0,0.0
FIAT PANDA,M1,1242.0,51.0,134.0
TOYOTA COROLLA,M1,1798.0,72.0,110.0
MICRA,M1,999.0,68.0,143.0
EXPLORER,M1,2956.0,267.0,71.0
COUNTRYMAN COOPER D ALL4,M1,1995.0,110.0,146.0
GOLF,M1,1968.0,85.0,119.0
318d,M1,1995.0,100.0,118.0
IGNIS,M1,1197.0,61.0,121.0
C3,M1,1499.0,75.0,111.0
GOLF,M1,1498.0,96.0,126.0
XV,M1,1600.0,84.0,180.0
TOUAREG,M1G,2967.0,170.0,218.0
MOKKA,M1,1199.0,74.0,120.0
A 200,M1,1332.0,120.0,142.0
GOLF,M1,1498.0,110.0,128.0
PANDA,M1,875.0,62.0,110.0
GLE 400 D 4MATIC COUPE,M1G,2925.0,243.0,219.0
FOCUS,M1,999.0,91.0,119.0
208,M1,1499.0,75.0,106.0
Puma,M1,999.0,114.0,127.0
ID.3 PRO 150KW,M1,,70.0,0.0
X3 XDRIVE20D,M1G,1995.0,140.0,156.0
Mitsubishi ASX,M1,1998.0,110.0,171.0
T-ROC,M1,1498.0,110.0,148.0
MITSUBISHI ECLIPSE CROSS,M1,2360.0,72.0,46.0
AYGO,M1,998.0,53.0,112.0
UP!,M1,999.0,48.0,116.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
STONIC,M1,998.0,73.0,121.0
2008,M1,1199.0,96.0,135.0
Puma,M1,999.0,,122.0
Q3 SPORTBACK,M1,1498.0,110.0,160.0
A1 SPORTBACK,M1,999.0,81.0,124.0
MX-30,M1,,80.0,0.0
CADDY,M1,1968.0,90.0,130.0
Q7,M1,2967.0,170.0,210.0
ASX,M1,1998.0,110.0,161.0
SWIFT,M1,1197.0,61.0,121.0
750Ld xDrive,M1,2993.0,294.0,198.0
CLIO,M1,999.0,67.0,118.0
TOYOTA COROLLA,M1,1798.0,72.0,112.0
NIRO,M1,1580.0,77.0,110.0
STONIC/SILBER/1.0 TGDI/MT6/100,M1,998.0,73.0,125.0
KODIAQ,M1,1498.0,110.0,160.0
CADDY,M1,1968.0,90.0,135.0
TOYOTA YARIS,M1,1490.0,68.0,97.0
CORSA,M1,1199.0,74.0,118.0
TUCSON,M1,1598.0,132.0,145.0
500,M1,,43.0,0.0
X3 XDRIVE 20D,M1G,1995.0,140.0,157.0
C3,M1,1199.0,81.0,124.0
TUCSON,M1,1598.0,132.0,127.0
FORMENTOR,M1,1984.0,228.0,195.0
JUKE,M1,999.0,84.0,139.0
STONIC,M1,998.0,,129.0
QASHQAI,M1,1332.0,116.0,145.0
Mitsubishi Outlander,M1,2360.0,99.0,46.0
T-CROSS,M1,999.0,70.0,133.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,113.0
500,M1,999.0,51.0,107.0
UP!,M1,999.0,48.0,116.0
320D,M1,1995.0,140.0,131.0
PANDA,M1,999.0,51.0,127.0
208,M1,1199.0,55.0,119.0
T-ROC,M1,1498.0,110.0,155.0
KAROQ,M1,1498.0,110.0,149.0
FABIA,M1,999.0,70.0,135.0
IONIQ,M1,,,0.0
A1 SPORTBACK,M1,999.0,81.0,133.0
X7 xDrive40d,M1G,2993.0,250.0,209.0
FOCUS,M1,1995.0,110.0,134.0
Taycan,M1,,280.0,0.0
RENEGADE,M1,999.0,88.0,147.0
CLIO,M1,1598.0,67.0,99.0
FORMENTOR E-HYBRID,M1,1395.0,110.0,29.0
508,M1,1598.0,133.0,35.0
MODEL 3,M1,,153.0,0.0
Mazda CX-5,M1,2191.0,110.0,147.0
CAPTUR,M1,1461.0,70.0,129.0
NIRO,M1,,150.0,0.0
330E XDRIVE TOURING G21 XB1,M1,1998.0,135.0,37.0
CAPTUR,M1,999.0,67.0,119.0
BORN,M1,,150.0,0.0
TWINGO,M1,999.0,48.0,117.0
RENEGADE,M1,999.0,88.0,151.0
COMBO,M1,1199.0,81.0,145.0
208,M1,1499.0,75.0,105.0
CORSA,M1,1199.0,74.0,118.0
PUMA,M1,999.0,114.0,124.0
RAV4,M1,2487.0,131.0,126.0
ONE,M1,1499.0,75.0,127.0
SERIE 4,M1,2993.0,250.0,155.0
AMG GT 53 4MATIC+,M1,2999.0,320.0,231.0
208,M1,,57.0,0.0
GOLF,M1,999.0,81.0,121.0
FIAT 500L,M1,1368.0,70.0,167.0
KONA,M1,1580.0,77.0,115.0
C1,M1,998.0,53.0,110.0
CAYENNE TURBO S E-HYBRID,M1G,3996.0,404.0,88.0
TIGUAN,M1,1968.0,110.0,145.0
TOYOTA COROLLA,M1,1987.0,112.0,119.0
YARIS,M1,1490.0,68.0,85.0
DUSTER,M1,999.0,74.0,127.0
TIGUAN,M1,1968.0,110.0,145.0
JAGUAR E-PACE,M1G,1998.0,120.0,171.0
SANDERO,M1,999.0,67.0,140.0
CORSA,M1,1199.0,74.0,119.0
JUKE,M1,999.0,84.0,138.0
CLA 220 D,M1,1950.0,140.0,140.0
CAPTUR,M1,999.0,74.0,119.0
CORSA,M1,1199.0,74.0,117.0
XCEED,M1,998.0,88.0,137.0
XCEED,M1,1580.0,77.0,32.0
208,M1,1199.0,55.0,119.0
TUCSON,M1,1598.0,132.0,131.0
E 300 E,M1,1991.0,155.0,35.0
812 GTS,M1,6496.0,585.0,373.0
IBIZA,M1,999.0,81.0,116.0
RENEGADE,M1,1332.0,96.0,49.0
208,M1,1199.0,74.0,111.0
DUSTER,M1,1332.0,96.0,155.0
C3 AIRCROSS,M1,1199.0,81.0,136.0
POLO,M1,999.0,66.0,102.0
CAPTUR E-TECH PLUG-IN HYBRID,M1,1598.0,68.0,
TIPO,M1,1598.0,96.0,117.0
XC90,M1G,1969.0,223.0,69.0
"RIO,STONIC",M1,1197.0,61.0,130.0
MOKKA,M1,1199.0,96.0,132.0
IBIZA,M1,999.0,59.0,122.0
IGNIS,M1,1197.0,61.0,112.0
TOYOTA AYGO,M1,998.0,53.0,119.0
500,M1,999.0,51.0,114.0
C3,M1,1199.0,61.0,123.0
CLASSE A,M1,1950.0,85.0,132.0
CORSA,M1,,57.0,0.0
PUMA,M1,999.0,92.0,129.0
FOCUS,M1,1496.0,111.0,151.0
500X,M1,999.0,88.0,143.0
YPSILON,M1,999.0,52.0,125.0
FOCUS,M1,999.0,114.0,122.0
ENYAQ 80,M1,,70.0,0.0
320D XDRIVE,M1,1995.0,140.0,136.0
T-ROC,M1,1968.0,110.0,127.0
POLO,M1,999.0,70.0,121.0
OCTAVIA,M1,1498.0,110.0,125.0
C5 AIRCROSS,M1,1499.0,96.0,138.0
TIGUAN,M1,1498.0,110.0,164.0
MODEL Y,M1,,153.0,0.0
T-CROSS,M1,1498.0,110.0,136.0
MEGANE,M1,1461.0,85.0,121.0
508,M1,1598.0,133.0,31.0
T-CROSS,M1,999.0,81.0,146.0
COROLLA,M1,1987.0,112.0,119.0
B 180,M1,1332.0,100.0,139.0
MASTER,M1,2299.0,110.0,251.0
2008,M1,1499.0,81.0,114.0
T-ROC,M1,1498.0,110.0,156.0
IBIZA,M1,999.0,81.0,117.0
KOMBI,M1,1968.0,110.0,190.0
DUSTER,M1,1332.0,96.0,145.0
MAZDA2,M1,1496.0,66.0,120.0
KAMIQ,M1,999.0,81.0,133.0
POLO,M1,999.0,70.0,126.0
QASHQAI,M1,1332.0,116.0,144.0
GLB 200 D 4MATIC,M1,1950.0,110.0,150.0
COMPASS,M1G,1332.0,96.0,168.0
208,M1,1499.0,75.0,108.0
CLIO,M1,999.0,67.0,117.0
308,M1,1499.0,96.0,122.0
X1 XDRIVE18D,M1,1995.0,110.0,145.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,121.0
IONIQ,M1,,25.0,0.0
MUSTANG MACH-E,M1,,124.0,0.0
DUSTER,M1,999.0,74.0,141.0
PASSAT,M1,1395.0,115.0,34.0
CADDY,M1,1968.0,90.0,128.0
SEAT LEON SP,M1,1968.0,110.0,119.0
PUMA,M1,999.0,92.0,127.0
DUSTER,M1,1461.0,85.0,127.0
I10,M1,998.0,49.0,110.0
3008,M1,1598.0,133.0,156.0
V60,M1,1969.0,186.0,43.0
500,M1,999.0,52.0,110.0
A 200,M1,1332.0,120.0,138.0
ID.3 PRO 107KW,M1,,70.0,0.0
FORMENTOR,M1,1984.0,228.0,192.0
GRANDLAND X,M1,1598.0,147.0,31.0
RIO,M1,1197.0,,131.0
TRANSIT CUSTOM,M1,1995.0,96.0,200.0
2008,M1,1199.0,96.0,136.0
FIAT 500L,M1,1248.0,70.0,132.0
POLO,M1,999.0,59.0,124.0
MODEL 3,M1,,377.0,0.0
"I30,I30N",M1,1498.0,80.0,135.0
TUCSON,M1,1598.0,100.0,141.0
TIGUAN,M1,1498.0,110.0,161.0
Q4 40 e-tron,M1,,150.0,0.0
IBIZA,M1,999.0,81.0,133.0
STELVIO,M1,2143.0,140.0,147.0
TWINGO,M1,999.0,48.0,117.0
2008,M1,1199.0,74.0,136.0
MULTIVAN,M1,1968.0,110.0,217.0
500,M1,,43.0,0.0
5008,M1,1199.0,96.0,149.0
NUEVO,M1,1199.0,61.0,123.0
X1 XDRIVE25E,M1,1499.0,92.0,
FIESTA,M1,1084.0,55.0,121.0
TOYOTA AYGO,M1,998.0,53.0,114.0
IBIZA,M1,999.0,81.0,123.0
GOLF GTE,M1,1395.0,110.0,26.0
DS 7 CROSSBACK,M1,1598.0,133.0,33.0
MEGANE,M1,1332.0,103.0,133.0
I20,M1,998.0,74.0,115.0
PASSAT,M1,1395.0,115.0,27.0
TOYOTA COROLLA,M1,1987.0,112.0,121.0
FIESTA,M1,1499.0,63.0,114.0
TWINGO,M1,,31.0,0.0
MAZDA CX-3,M1,1998.0,89.0,140.0
GLS 350 D 4MATIC,M1,2925.0,210.0,221.0
POLO,M1,999.0,70.0,129.0
KONA,M1,,26.0,0.0
FIAT 500L,M1,1368.0,70.0,168.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
VITARA,M1,1373.0,95.0,141.0
DUSTER,M1,1461.0,84.0,143.0
SCALA,M1,1498.0,110.0,127.0
TOYOTA RAV4,M1,2487.0,131.0,131.0
IONIQ,M1,1580.0,77.0,102.0
PUMA,M1,999.0,91.0,128.0
T-ROC,M1,1968.0,110.0,147.0
CLIO,M1,999.0,74.0,119.0
CORSA,M1,1199.0,74.0,118.0
CROSSLAND,M1,1199.0,81.0,131.0
CEED,M1,1580.0,77.0,33.0
C1,M1,998.0,53.0,110.0
QASHQAI,M1,1332.0,103.0,144.0
COMPASS,M1,1332.0,96.0,157.0
FIAT 500,M1,999.0,52.0,121.0
T-CROSS,M1,999.0,81.0,136.0
"KONA, KAUAI",M1,998.0,88.0,135.0
CAPTUR,M1,999.0,74.0,120.0
POLO / 1.0 / TSI,M1,999.0,70.0,120.0
SANDERO,M1,999.0,67.0,131.0
MEGANE,M1,1332.0,117.0,146.0
CLIO,M1,1598.0,67.0,99.0
Cooper,M1,1499.0,100.0,127.0
TOYOTA YARIS CROSS,M1,1490.0,68.0,100.0
UP!,M1,,61.0,0.0
MITSUBISHI OUTLANDER,M1,2360.0,99.0,46.0
COMPASS,M1G,1332.0,96.0,162.0
I20 BI-FUEL,M1,1197.0,60.0,112.0
ZOE,M1,,51.0,0.0
i 30,M1,1482.0,117.0,126.0
T-CROSS,M1,999.0,81.0,133.0
RIO,M1,1197.0,62.0,116.0
ONE,M1,1499.0,75.0,141.0
MAZDA3,M1,1998.0,90.0,127.0
COROLLA,M1,1798.0,72.0,103.0
3008,M1,1199.0,96.0,147.0
"RIO,STONIC",M1,998.0,73.0,125.0
UP!,M1,,61.0,0.0
RENEGADE,M1,1598.0,96.0,137.0
TUCSON,M1,1598.0,110.0,150.0
A 250 E,M1,1332.0,118.0,22.0
GLC 200 d,M1,1950.0,120.0,156.0
YARIS,M1,1490.0,68.0,87.0
Puma,M1,999.0,91.0,126.0
LEON,M1,1498.0,110.0,132.0
TOYOTA COROLLA,M1,1798.0,72.0,101.0
SPORTAGE,M1,1598.0,100.0,145.0
YARIS,M1,1490.0,68.0,101.0
AMG A 35,M1,1991.0,225.0,185.0
DUSTER,M1,999.0,67.0,140.0
XC40,M1,1477.0,95.0,168.0
C3 AIRCROSS,M1,1499.0,81.0,122.0
MEGANE E-TECH PLUG-IN HY,M1,1598.0,67.0,30.0
VITARA,M1,1373.0,95.0,129.0
CLIO,M1,999.0,67.0,118.0
Transit Custom,M1,1995.0,125.0,190.0
SANDERO,M1,999.0,67.0,126.0
X4 xDrive20d,M1,1995.0,140.0,157.0
T-CROSS,M1,999.0,70.0,133.0
CORSA,M1,,57.0,0.0
FABIA,M1,999.0,44.0,129.0
FIAT 500X,M1,999.0,88.0,155.0
208,M1,,57.0,0.0
COROLLA,M1,1798.0,72.0,112.0
NISSAN JUKE,M1,999.0,86.0,135.0
POLESTAR 2,M1,,150.0,0.0
TOYOTA YARIS,M1,1490.0,68.0,97.0
SERIE 3,M1,1998.0,115.0,154.0
CLIO,M1,999.0,67.0,108.0
SANDERO,M1,999.0,67.0,127.0
C5 AIRCROSS,M1,1199.0,96.0,150.0
SANDERO,M1,999.0,74.0,128.0
530E XDRIVE,M1,1998.0,135.0,42.0
B 200,M1,1332.0,120.0,141.0
118I,M1,1499.0,100.0,129.0
SUPERB,M1,1968.0,147.0,157.0
208,M1,1199.0,96.0,129.0
A3 SPORTBACK,M1,999.0,81.0,122.0
X1 xDrive25e,M1,1499.0,92.0,42.0
SCENIC,M1,1749.0,88.0,149.0
TWINGO,M1,999.0,48.0,117.0
PANDA,M1,875.0,63.0,156.0
CORSA,M1,1199.0,74.0,125.0
ARKANA,M1,1332.0,103.0,131.0
X5 XDRIVE30D,M1G,2993.0,210.0,177.0
NIRO,M1,,150.0,0.0
Q7 55 TFSI E,M1G,2995.0,250.0,62.0
T-ROC,M1,999.0,81.0,138.0
CLIO,M1,999.0,67.0,118.0
CORSA,M1,1199.0,74.0,123.0
ENYAQ 80,M1,,150.0,0.0
FIAT 500,M1,999.0,52.0,106.0
TOYOTA C-HR,M1,1798.0,72.0,111.0
POLO,M1,999.0,59.0,127.0
CLIO,M1,999.0,67.0,118.0
MOKKA,M1,1199.0,96.0,135.0
CORSA,M1,1499.0,75.0,106.0
CLIO,M1,999.0,49.0,119.0
MEGANE,M1,1461.0,85.0,121.0
E 220 D 4MATIC,M1,1950.0,143.0,141.0
FIESTA,M1,999.0,70.0,120.0
FIAT 500L,M1,1248.0,70.0,126.0
MAZDA CX-30,M1,1998.0,137.0,128.0
STONIC,M1,998.0,74.0,139.0
120I,M1,1998.0,131.0,147.0
T-CROSS,M1,999.0,81.0,132.0
ID.3 PRO / /,M1,,70.0,0.0
IBIZA,M1,999.0,81.0,125.0
TIPO,M1,999.0,73.0,126.0
CORSA,M1,,57.0,0.0
OCTAVIA,M1,1968.0,110.0,120.0
LODGY,M1,1461.0,85.0,130.0
5008,M1,1199.0,96.0,144.0
DUSTER,M1,1461.0,84.0,143.0
AMG G 63,M1G,3982.0,430.0,373.0
KAROQ,M1,1498.0,110.0,143.0
V 300,M1,1950.0,174.0,200.0
500,M1,,43.0,0.0
XC40,M1,1477.0,95.0,166.0
3008,M1,1199.0,96.0,147.0
SANDERO,M1,999.0,74.0,134.0
TOYOTA YARIS,M1,1490.0,68.0,92.0
TOURNEO CUSTOM TREND,M1,1995.0,95.0,194.0
3,M1,1998.0,90.0,139.0
MG RX6 PLUG-IN HYBRID,M1,1490.0,119.0,43.0
FIAT 500,M1,999.0,52.0,121.0
2008,M1,1199.0,96.0,127.0
Q2,M1,999.0,81.0,133.0
X3 XDRIVE 30I,M1G,1998.0,185.0,189.0
PANDA,M1,999.0,52.0,109.0
Q4 40 E-TRON,M1,,70.0,0.0
X3 xDrive20d,M1,1995.0,140.0,160.0
NISSAN MICRA,M1,999.0,68.0,121.0
Q3 SPORTBACK,M1,1984.0,180.0,197.0
POLO,M1,999.0,70.0,121.0
ARONA,M1,999.0,70.0,127.0
TWINGO,M1,,31.0,0.0
TIGUAN,M1,1968.0,147.0,178.0
TIGUAN,M1,1498.0,110.0,162.0
"SX4, SUZUKI SX4",M1,1373.0,95.0,142.0
XC60,M1,1969.0,145.0,173.0
AYGO,M1,998.0,53.0,112.0
FORMENTOR VZ E-HYBRID,M1,1395.0,110.0,33.0
CADDY,M1,1968.0,90.0,138.0
A 180,M1,1332.0,100.0,140.0
X1,M1,1499.0,100.0,148.0
T-ROC,M1,1498.0,110.0,147.0
FABIA,M1,999.0,70.0,120.0
V60,M1,1969.0,186.0,42.0
